,Link,Name,Image-link,Price,Description
0,,,,,
1,https://www.ebay.com/itm/125318889541?hash=item1d2d968045:g:5ugAAOSwOYVig7y-,Telescope 114mm Aperture 500mm Astronomical Reflector (29.9-46.6in) Portable ,https://i.ebayimg.com/thumbs/images/g/5ugAAOSwOYVig7y-/s-l225.jpg,$55.24,Brand New
2,https://www.ebay.com/itm/255634230894?hash=item3b84fcce6e:g:y8kAAOSwzati1DRC,"celestron telescope 8 "" HD",https://i.ebayimg.com/thumbs/images/g/y8kAAOSwzati1DRC/s-l225.jpg,"$3,010.00",Pre-Owned
3,https://www.ebay.com/itm/403490246656?hash=item5df1e49000:g:2fkAAOSwxLJhPO2G,Celestron Telescope Equatorial Mount Head ~ CG-2 & Orion EQ-1 & PowerSeeker,https://i.ebayimg.com/thumbs/images/g/2fkAAOSwxLJhPO2G/s-l225.jpg,$44.99,Brand New
4,https://www.ebay.com/itm/384928694799?hash=item599f89c20f:g:jVwAAOSwsh1imd3C,"Takahashi Teegul-100 D = 100mm f = 770mm Altazimuth mount tripod 0.956""/ 24.5mｍ",https://i.ebayimg.com/thumbs/images/g/jVwAAOSwsh1imd3C/s-l225.jpg,$670.00,Pre-Owned
5,https://www.ebay.com/itm/144653382242?hash=item21ae037262:g:jr8AAOSwI7Biw-yd, 40x22 HD Mini Zoom Binoculars Compact Long Range 2000m Folding Telescope Hiking,https://i.ebayimg.com/thumbs/images/g/jr8AAOSwI7Biw-yd/s-l225.jpg,$0.99,Brand New
6,https://www.ebay.com/itm/374131643354?hash=item571bfbd3da:g:SKQAAOSw-WpiqZ4Z,"QUESTAR Telescope, 3.5 in. DUPLEX, CERVIT Mirror, Broad Band coatings 1971",https://i.ebayimg.com/thumbs/images/g/SKQAAOSw-WpiqZ4Z/s-l225.jpg,"$3,600.00",Pre-Owned
7,https://www.ebay.com/itm/384646256824?hash=item598eb418b8:g:FTMAAOSwGKthzgXF,"AmScope Reflector EQ Telescope 130mm Aperture, 650mm Focal Length+Red Dot Finder",https://i.ebayimg.com/thumbs/images/g/FTMAAOSwGKthzgXF/s-l225.jpg,$249.99,Brand New
8,https://www.ebay.com/itm/125427960308?hash=item1d3416c9f4:g:fcIAAOSwGRliuaye,Takahashi FS-60C fluorite doublet ,https://i.ebayimg.com/thumbs/images/g/fcIAAOSwGRliuaye/s-l225.jpg,$699.00,Pre-Owned
9,https://www.ebay.com/itm/402050295844?hash=item5d9c10a824:g:KzIAAOSw675eK1GH,IQCrew Tabletop Dobsonian Telescope with 15X to 100X Magnification,https://i.ebayimg.com/thumbs/images/g/KzIAAOSw675eK1GH/s-l225.jpg,$69.99,Brand New
10,https://www.ebay.com/itm/363905105053?hash=item54ba6f3c9d:g:hz0AAOSwPYFizJEO,"4' Reflecting Telescope & Tripod HowTo build PLANS - 4 1/4""",https://i.ebayimg.com/thumbs/images/g/hz0AAOSwPYFizJEO/s-l225.jpg,$6.99,Pre-Owned
