,title,imageUrl,description,price
0,,,,
1,Telescope 114mm Aperture 500mm Astronomical Reflector (29.9-46.6in) Portable ,https://i.ebayimg.com/thumbs/images/g/5ugAAOSwOYVig7y-/s-l225.jpg,Brand New,$55.24
2,"celestron telescope 8 "" HD",https://i.ebayimg.com/thumbs/images/g/y8kAAOSwzati1DRC/s-l225.jpg,Pre-Owned,"$3,010.00"
3,Celestron Telescope Equatorial Mount Head ~ CG-2 & Orion EQ-1 & PowerSeeker,https://i.ebayimg.com/thumbs/images/g/2fkAAOSwxLJhPO2G/s-l225.jpg,Brand New,$44.99
4,"Takahashi Teegul-100 D = 100mm f = 770mm Altazimuth mount tripod 0.956""/ 24.5mｍ",https://i.ebayimg.com/thumbs/images/g/jVwAAOSwsh1imd3C/s-l225.jpg,Pre-Owned,$670.00
5, 40x22 HD Mini Zoom Binoculars Compact Long Range 2000m Folding Telescope Hiking,https://i.ebayimg.com/thumbs/images/g/jr8AAOSwI7Biw-yd/s-l225.jpg,Brand New,$0.99
6,"QUESTAR Telescope, 3.5 in. DUPLEX, CERVIT Mirror, Broad Band coatings 1971",https://i.ebayimg.com/thumbs/images/g/SKQAAOSw-WpiqZ4Z/s-l225.jpg,Pre-Owned,"$3,600.00"
7,"AmScope Reflector EQ Telescope 130mm Aperture, 650mm Focal Length+Red Dot Finder",https://i.ebayimg.com/thumbs/images/g/FTMAAOSwGKthzgXF/s-l225.jpg,Brand New,$249.99
8,Nikon 100mm F1200 Apochromat ,https://i.ebayimg.com/thumbs/images/g/m6sAAOSwEWJiroL2/s-l225.jpg,Pre-Owned,"$2,099.00"
9,IQCrew Tabletop Dobsonian Telescope with 15X to 100X Magnification,https://i.ebayimg.com/thumbs/images/g/KzIAAOSw675eK1GH/s-l225.jpg,Brand New,$69.99
10,"4' Reflecting Telescope & Tripod HowTo build PLANS - 4 1/4""",https://i.ebayimg.com/thumbs/images/g/hz0AAOSwPYFizJEO/s-l225.jpg,Pre-Owned,$6.99
11,Adjustable Focus Glasses Telescope   :300 ~ 400%,https://i.ebayimg.com/thumbs/images/g/2p4AAOSw3mVfzyQ8/s-l225.jpg,Brand New,$8.51
12,Takahashi FS-60C fluorite doublet ,https://i.ebayimg.com/thumbs/images/g/fcIAAOSwGRliuaye/s-l225.jpg,Pre-Owned,$699.00
13,Astronomical Telescope Night Vision For HD Viewing Space Star Moon & Tripod Tool,https://i.ebayimg.com/thumbs/images/g/cKUAAOSw1YZguHSf/s-l225.jpg,Brand New,$65.99
14,"Sky Atlas 2000.0 2ed Second Deluxe Edition by Roger W. Sinnott & Wil Tirion, New",https://i.ebayimg.com/thumbs/images/g/6yUAAOSwai5hVLql/s-l225.jpg,Brand New,$250.00
15,AmScope Reflector EQ Telescope 114mm Aperture 900mm Focal Length +Red Dot Finder,https://i.ebayimg.com/thumbs/images/g/7q4AAOSww2FhzgKk/s-l225.jpg,Brand New,$209.99
